,source,nutrient,nutrient_conversion,new_nutrient,nutrient_units,units_conversion,nutrient_type,nutrient_desc,relevance
250,AFCD,Fatty acid 26:0,,Fatty acid 26:0,g,,Fatty acid,Fatty acid 26:0,
251,AFCD,Fatty acid 30:0,,Fatty acid 30:0,g,,Fatty acid,Fatty acid 30:0,
252,AFCD,Fatty acid 10:1,,Fatty acid 10:1,g,,Fatty acid,Fatty acid 10:1,
253,AFCD,"Fatty acid 16:1, n5",,"Fatty acid 16:1, n5",g,,Fatty acid,Fatty acid 16:1 double bond on 5th carbon-carbon bond,
254,AFCD,"Fatty acid 16:1, cis",,"Fatty acid 16:1, cis",Not provided in unformatted AFCD,,Fatty acid,"Fatty acid 16:1, cis",
255,AFCD,"Fatty acid 17:1, cis",,"Fatty acid 17:1, cis",g,,Fatty acid,Fatty acid 17:1 in cis configuration,
256,AFCD,"Fatty acid 18:1, cis",,"Fatty acid 18:1, cis",g,,Fatty acid,Fatty acid 18:1 in cis configuration,
257,AFCD,"Fatty acid 20:1, cis",,"Fatty acid 20:1, cis",g,,Fatty acid,Fatty acid 20:1 in cis configuration,
258,AFCD,"Fatty acid 22:1, cis",,"Fatty acid 22:1, cis",g,,Fatty acid,Fatty acid 22:1 in cis configuration,
259,AFCD,"Fatty acid 24:1, cis",,"Fatty acid 24:1, cis",g,,Fatty acid,Fatty acid 24:1 in cis configuration,
260,AFCD,"Fatty acid 18:2, conj",,"Fatty acid 18:2, conj",g,,Fatty acid,Fatty acid 18:2 conjugated,
261,AFCD,"Fatty acid 18:2, cis",,"Fatty acid 18:2, cis",g,,Fatty acid,Fatty acid 18:2 in cis configuration,
262,AFCD,"Fatty acid 20:2, cis n6",,"Fatty acid 20:2, cis n6",g,,Fatty acid,Fatty acid 20:2 double bond on 6th carbon-carbon bond in cis configuration,
263,AFCD,"Fatty acid 20:3, cis n6",,"Fatty acid 20:3, cis n6",g,,Fatty acid,Fatty acid 20:3 double bond on 6th carbon-carbon bond in cis configuration,
264,AFCD,Fatty acid 22:3,,Fatty acid 22:3,g,,Fatty acid,Fatty acid 22:3,
265,AFCD,"Fatty acid 16:4, cis",,"Fatty acid 16:4, cis",g,,Fatty acid,Fatty acid 16:4 in cis configuration,
266,AFCD,"Fatty acid 18:4, cis n3",,"Fatty acid 18:4, cis n3",g,,Fatty acid,Fatty acid 18:4 double bond on 3rd carbon-carbon bond in cis configuration,
267,AFCD,"Fatty acid 22:4, cis n6",,"Fatty acid 22:4, cis n6",g,,Fatty acid,Fatty acid 22:4 double bond on 6th carbon-carbon bond in cis configuration,
268,AFCD,"Fatty acid 22:5, cis n3",,"Fatty acid 22:5, cis n3",g,,Fatty acid,Fatty acid 22:5 double bond on 3rd carbon-carbon bond in cis configuration,
269,AFCD,Fatty acid 24:6,,Fatty acid 24:6,g,,Fatty acid,Fatty acid 24:6,
270,AFCD,Protein conversion factor,,Protein conversion factor,none,,Non-nutrient,Protein conversion factors,
271,AFCD,"Nitrogen, protein",,"Nitrogen, protein",g,,Protein,Nitrogen protein,
272,AFCD,Cesium,,Cesium,mcg,,Mineral,Cesium,
273,AFCD,Fluoride,,Fluoride,mcg,,Mineral,"Fluoride, synonym fluorine",
274,AFCD,Aluminum,,Aluminum,mcg,,Toxic trace elements,Aluminium,
275,AFCD,Astaxanthin,,Astaxanthin,mcg,,Vitamin,Astaxanthin,
276,AFCD,Zeaxanthin,,Zeaxanthin,mcg,,Vitamin,Zeaxanthin,
277,AFCD,Sucrose,,Sucrose,g,,Carbohydrate,Sucrose,
