"country","iso3","nutrient","npeople","ndeficient","perc_deficient"
"Puerto Rico","PRI","Zinc",2859180,2330197.25859063,81.4987954095451
"Qatar","QAT","Calcium",2880971,2750377.48758628,95.4670313441641
"Qatar","QAT","Iron",2880971,2730627.37727863,94.7814947557135
"Qatar","QAT","Omega-3 fatty acids",2144592,2013294.72356061,93.8777503394871
"Qatar","QAT","Vitamin A, RAE",2880971,2687973.32711023,93.3009505166914
"Qatar","QAT","Vitamin B-12",2880971,2371185.11793249,82.3050672128421
"Qatar","QAT","Zinc",2880971,2512143.31853776,87.1977995799944
"Romania","ROU","Calcium",19236520,11882617.662936,61.7711398056197
"Romania","ROU","Iron",19236520,819996.737233181,4.26270831331853
"Romania","ROU","Omega-3 fatty acids",14246290,10917140.2347985,76.6314614878574
"Romania","ROU","Vitamin A, RAE",19236520,6760863.33021339,35.1459792634707
"Romania","ROU","Vitamin B-12",19236520,1222914.77515166,6.35725575702707
"Romania","ROU","Zinc",19236520,9669.24432685939,0.0502650392423338
"Russia","RUS","Calcium",145925053,95728108.7763341,65.6008730566191
"Russia","RUS","Iron",145925053,618893.264688379,0.424117210831768
"Russia","RUS","Omega-3 fatty acids",105431713,56048190.7130127,53.1606564269829
"Russia","RUS","Vitamin A, RAE",145925053,1014315.40075628,0.695093392055356
"Russia","RUS","Vitamin B-12",145925053,0.0461972219777293,3.16581841349267e-08
"Russia","RUS","Zinc",145925053,11879.7748202073,0.00814101113960691
"Rwanda","RWA","Calcium",12952202,12296019.6974362,94.9338166393342
"Rwanda","RWA","Iron",12952202,1567475.12500297,12.1019972125433
"Rwanda","RWA","Omega-3 fatty acids",5301823,4150840.72782388,78.2908204937034
"Rwanda","RWA","Vitamin A, RAE",12952202,96904.6596459886,0.748171312074878
"Rwanda","RWA","Vitamin B-12",12952202,4185186.54488804,32.3125484368453
"Rwanda","RWA","Zinc",12952202,1906884.57931053,14.7224740573883
"Samoa","WSM","Calcium",198410,180764.846040406,91.1067214557764
"Samoa","WSM","Iron",198410,11100.3657183982,5.59466040945427
"Samoa","WSM","Omega-3 fatty acids",88717,32737.242203375,36.9007543124486
"Samoa","WSM","Vitamin A, RAE",198410,18745.7849732778,9.44800411938805
"Samoa","WSM","Vitamin B-12",198410,0.00182065743085228,9.17623824833567e-07
"Samoa","WSM","Zinc",198410,15480.9919841445,7.80252607436344
"San Marino","SMR","Calcium",0,0,NA
"San Marino","SMR","Iron",0,0,NA
"San Marino","SMR","Omega-3 fatty acids",0,0,NA
"San Marino","SMR","Vitamin A, RAE",0,0,NA
"San Marino","SMR","Vitamin B-12",0,0,NA
"San Marino","SMR","Zinc",0,0,NA
"São Tomé & Príncipe","STP","Calcium",219160,215363.780317087,98.2678318657998
"São Tomé & Príncipe","STP","Iron",219160,133704.230859024,61.0075884554771
"São Tomé & Príncipe","STP","Omega-3 fatty acids",83963,44081.5624196705,52.5011760176155
"São Tomé & Príncipe","STP","Vitamin A, RAE",219160,154743.425442131,70.6075129777928
"São Tomé & Príncipe","STP","Vitamin B-12",219160,94149.3151041527,42.9591691477243
"São Tomé & Príncipe","STP","Zinc",219160,180133.420495945,82.1926539952295
"Saudi Arabia","SAU","Calcium",34813556,26379759.1678264,75.7743884819649
"Saudi Arabia","SAU","Iron",34813556,362269.332119259,1.04059847296053
"Saudi Arabia","SAU","Omega-3 fatty acids",21663928,14499687.3977296,66.9300941072626
"Saudi Arabia","SAU","Vitamin A, RAE",34813556,17861514.2846936,51.3062046425066
"Saudi Arabia","SAU","Vitamin B-12",34813556,5345753.63695892,15.3553794876884
"Saudi Arabia","SAU","Zinc",34813556,106898.516112106,0.307060031764942
"Senegal","SEN","Calcium",16743924,16690475.8760196,99.6807909306065
"Senegal","SEN","Iron",16743924,5.19248753132495e-05,3.10111747480755e-10
"Senegal","SEN","Omega-3 fatty acids",6328599,4334852.12861214,68.4962363488686
"Senegal","SEN","Vitamin A, RAE",16743924,11760485.1977118,70.2373302561087
"Senegal","SEN","Vitamin B-12",16743924,3869645.04391786,23.1107418065076
"Senegal","SEN","Zinc",16743924,0.000563237913926626,3.36383462996264e-09
"Serbia","SRB","Calcium",8737263,5955071.37203206,68.1571720117852
"Serbia","SRB","Iron",8737263,131595.221245951,1.50613780592333
"Serbia","SRB","Omega-3 fatty acids",6352543,5390155.66681516,84.8503609785115
"Serbia","SRB","Vitamin A, RAE",8737263,3788473.33434293,43.3599553354744
